date_month,partner_area_name,name_city,zonas,zonas_santiago,vertical,total_confirmed_order,total_active_users,total_failed_order,total_failed_active_users,total_confirmed_orders_plus,total_plus_active_users,total_failed_orders_plus,total_failed_plus_active_users,total_GFV,total_GFV_PLUS,total_GFV_NO_PLUS,total_GMV,total_GMV_PLUS,total_GMV_NO_PLUS
2023-03-01,Talagante,Talagante,RM,Zona No Oriente,non_food,148,120,18,18,10,7,0,7,1946639,140040,1806599,2046184,144045,1902139
2021-07-01,Lampa,Colina,RM,Zona No Oriente,food,331,238,20,20,0,0,0,0,5288613,,5288613,5992066,,5992066
2022-05-01,Penco,Gran Concepción,Sur,Regiones,food,147,98,16,11,0,0,0,0,1592756.3,,1592756.3,1715929.3,,1715929.3
2021-08-01,Santa Bárbara,Los Ángeles,Sur,Regiones,food,3,3,0,0,0,0,0,0,19071,,19071,21051,,21051
2023-06-01,La Cruz,Quillota,Quinta,Regiones,food,31,13,2,2,4,2,0,2,393880,41270,352610,449240,42650,406590
2021-11-01,Purto Toro,Puerto Montt,Sur,Regiones,food,50,41,4,4,0,0,0,0,654199,,654199,740269,,740269
2021-11-01,Maipo,Buin,RM,Zona No Oriente,non_food,2,1,0,0,0,0,0,0,33600,,33600,38380,,38380
2022-06-01,Talcahuano_old,Gran Concepción,Sur,Regiones,non_food,30,23,0,0,0,0,0,0,322558,,322558,376510,,376510
2022-01-01,Purto Toro,Puerto Montt,Sur,Regiones,food,62,54,4,4,0,0,0,0,891344,,891344,1000344,,1000344
2023-12-01,Labranza,Temuco,Sur,Regiones,food,224,161,6,6,9,8,2,8,2767925.75,115500,2652425.75,3034545.75,125130,2909415.75
2021-03-01,Calle Larga,Los Andes,Quinta,Regiones,food,191,114,12,12,0,0,0,0,2006982,,2006982,2242002,,2242002
2021-07-01,Chillán Viejo,Biobío,Sur,Regiones,food,17,8,0,0,0,0,0,0,193526,,193526,210616,,210616
2023-06-01,Santa Julia,Valparaíso,Quinta,Regiones,food,2,2,0,0,0,0,0,0,10205,,10205,12385,,12385
2022-09-01,Hualqui,Biobío,Sur,Regiones,food,2,1,0,0,0,0,0,0,55036,,55036,59076,,59076
2024-03-01,Caleta Horcón,Caleta Horcón,other,Regiones,food,3,2,0,0,0,0,0,0,39900,,39900,43990,,43990
2021-05-01,Pucón,Temuco,Sur,Regiones,food,1,1,0,0,0,0,0,0,13800,,13800,15690,,15690
2024-06-01,Purto Toro,Puerto Montt,Sur,Regiones,food,2,2,1,1,0,0,0,0,46880,,46880,51940,,51940
2021-06-01,Hualqui,Biobío,Sur,Regiones,food,5,1,0,0,0,0,0,0,104660,,104660,110720,,110720
2022-05-01,Teno,Curicó,Sur,Regiones,food,3,3,0,0,0,0,0,0,47400,,47400,52966,,52966
2024-06-01,Lanco,Valdivia,Sur,Regiones,food,2,1,0,0,0,0,0,0,7920,,7920,10400,,10400
